camp_id,camp_name,camp_area,zone_id,zone_name,zone_type,zone_area,distance_km,zone_capacity
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_H03,Lokmanya Tilak Municipal Hospital (Sion Hospital),hospital,Sion,0.52,500
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_C04,Thadomal Shahani Engineering College,college,Bandra West,1.93,600
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_M01,Shivaji Park Municipal Ground,community_hall,Dadar,2.0,2000
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S02,Don Bosco High School,school,Matunga,2.25,600
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_M02,MMRDA Grounds BKC,community_hall,Bandra Kurla Complex,2.7,3000
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S05,IES Modern English School,school,Dadar,2.76,450
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_H01,Lilavati Hospital & Research Centre,hospital,Bandra West,3.23,800
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S01,St. Stanislaus High School,school,Bandra West,3.38,700
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S03,Holy Cross High School,school,Kurla West,4.44,500
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_C05,Vivekanand Education Society,college,Chembur,4.62,700
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_C02,SNDT Women's University,college,Santacruz West,4.95,750
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_C03,K.J. Somaiya College,college,Vidyavihar,6.69,800
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_H04,Rajawadi Government Hospital,hospital,Ghatkopar,7.18,400
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_H05,Seven Hills Hospital,hospital,"Marol, Andheri East",7.66,450
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_C01,Mithibai College,college,Vile Parle West,7.72,900
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_M03,Andheri Sports Complex,community_hall,Andheri West,8.65,1200
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_H02,Kokilaben Dhirubhai Ambani Hospital,hospital,Andheri West,10.65,600
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S06,St. Xavier's High School,school,Fort,11.66,400
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_ST01,Wankhede Stadium,stadium,Marine Lines,11.86,2500
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_ST03,Cooperage Football Ground,stadium,Colaba,13.05,1000
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_S04,Ryan International School,school,Malad West,16.69,650
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_ST02,DY Patil Stadium,stadium,Nerul (accessible from Govandi),17.05,2000
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_M04,Mulund Municipal Grounds,community_hall,Mulund West,18.35,1500
CAMP_01,Dharavi Relief Camp,Dharavi,SZ_M05,Borivali National Park Entry Ground,community_hall,Borivali,20.9,2500
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S03,Holy Cross High School,school,Kurla West,0.73,500
CAMP_02,Kurla West Relief Camp,Kurla,SZ_M02,MMRDA Grounds BKC,community_hall,Bandra Kurla Complex,1.66,3000
CAMP_02,Kurla West Relief Camp,Kurla,SZ_C05,Vivekanand Education Society,college,Chembur,2.83,700
CAMP_02,Kurla West Relief Camp,Kurla,SZ_C03,K.J. Somaiya College,college,Vidyavihar,2.99,800
CAMP_02,Kurla West Relief Camp,Kurla,SZ_H04,Rajawadi Government Hospital,hospital,Ghatkopar,3.24,400
CAMP_02,Kurla West Relief Camp,Kurla,SZ_H05,Seven Hills Hospital,hospital,"Marol, Andheri East",3.75,450
CAMP_02,Kurla West Relief Camp,Kurla,SZ_H03,Lokmanya Tilak Municipal Hospital (Sion Hospital),hospital,Sion,4.3,500
CAMP_02,Kurla West Relief Camp,Kurla,SZ_C04,Thadomal Shahani Engineering College,college,Bandra West,4.71,600
CAMP_02,Kurla West Relief Camp,Kurla,SZ_C02,SNDT Women's University,college,Santacruz West,4.94,750
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S01,St. Stanislaus High School,school,Bandra West,5.16,700
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S02,Don Bosco High School,school,Matunga,5.72,600
CAMP_02,Kurla West Relief Camp,Kurla,SZ_H01,Lilavati Hospital & Research Centre,hospital,Bandra West,6.36,800
CAMP_02,Kurla West Relief Camp,Kurla,SZ_M01,Shivaji Park Municipal Ground,community_hall,Dadar,6.36,2000
CAMP_02,Kurla West Relief Camp,Kurla,SZ_C01,Mithibai College,college,Vile Parle West,6.69,900
CAMP_02,Kurla West Relief Camp,Kurla,SZ_M03,Andheri Sports Complex,community_hall,Andheri West,6.75,1200
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S05,IES Modern English School,school,Dadar,7.07,450
CAMP_02,Kurla West Relief Camp,Kurla,SZ_H02,Kokilaben Dhirubhai Ambani Hospital,hospital,Andheri West,8.84,600
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S04,Ryan International School,school,Malad West,13.79,650
CAMP_02,Kurla West Relief Camp,Kurla,SZ_M04,Mulund Municipal Grounds,community_hall,Mulund West,14.0,1500
CAMP_02,Kurla West Relief Camp,Kurla,SZ_ST02,DY Patil Stadium,stadium,Nerul (accessible from Govandi),14.64,2000
CAMP_02,Kurla West Relief Camp,Kurla,SZ_S06,St. Xavier's High School,school,Fort,15.6,400
